date,open,high,low,close,volume,code,change_pct
2025-03-10,3945.58,3949.145,3905.127,3928.802,15276523200,000300.SH,
2025-03-11,3890.431,3941.416,3889.43,3941.416,14475440200,000300.SH,0.32106479277906885
2025-03-12,3946.862,3953.613,3921.474,3927.232,15673219000,000300.SH,-0.35987066577088944
2025-03-13,3925.744,3939.285,3897.376,3911.579,15653644300,000300.SH,-0.39857589263888604
2025-03-14,3919.616,4014.159,3919.616,4006.557,21613900300,000300.SH,2.4281242945623616
2025-03-17,4020.64,4021.728,3992.256,3996.788,16220291100,000300.SH,-0.24382530936162272
2025-03-18,4011.779,4016.873,3995.96,4007.723,14020849600,000300.SH,0.27359469654131274
2025-03-19,4004.825,4025.299,3989.512,4010.168,14441942800,000300.SH,0.061007210328667405
2025-03-20,4011.059,4012.042,3969.926,3974.992,13375467000,000300.SH,-0.8771702332670328
2025-03-21,3966.515,3983.148,3904.767,3914.696,16590529400,000300.SH,-1.5168835559920657
2025-03-24,3916.114,3938.183,3907.2,3934.849,15223467400,000300.SH,0.514803703786959
2025-03-25,3937.898,3946.357,3921.529,3932.295,14047539900,000300.SH,-0.0649071921184241
2025-03-26,3930.207,3942.026,3916.861,3919.357,13116418700,000300.SH,-0.32901905884477056
2025-03-27,3911.384,3952.985,3903.652,3932.412,12679373800,000300.SH,0.33309035129995834
2025-03-28,3930.776,3934.234,3907.384,3915.166,12635621400,000300.SH,-0.43856035430671625
2025-03-31,3905.982,3928.448,3872.403,3887.306,16679852300,000300.SH,-0.7115917945752503
2025-04-01,3892.779,3905.262,3882.405,3887.684,14038027400,000300.SH,0.009723957928708948
2025-04-02,3884.418,3900.495,3877.16,3884.386,11304317500,000300.SH,-0.08483199766237126
2025-04-03,3843.418,3883.703,3843.418,3861.503,14259978900,000300.SH,-0.589102112920803
2025-04-07,3675.202,3707.777,3514.117,3589.441,31257858600,000300.SH,-7.045494979545541
