ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20230331,3272.8602,3263.4061,3278.4231,3260.0396,3261.2485,11.6117,0.3561,283613746.0,396689286.3
000001.SH,20230330,3261.2485,3243.0683,3263.7379,3220.9846,3240.0568,21.1917,0.6541,299898295.0,401634271.1
000001.SH,20230329,3240.0568,3253.6212,3254.5564,3229.5848,3245.376,-5.3192,-0.1639,296900508.0,405542776.9
000001.SH,20230328,3245.376,3256.6023,3264.0978,3241.7368,3251.3971,-6.0211,-0.1852,295682660.0,396882943.4
000001.SH,20230327,3251.3971,3261.8235,3261.8235,3229.7037,3265.6537,-14.2566,-0.4366,337861206.0,453585768.7
000001.SH,20230324,3265.6537,3282.739,3282.739,3260.8444,3286.6491,-20.9954,-0.6388,324513337.0,430761598.9
000001.SH,20230323,3286.6491,3258.7791,3286.6491,3252.9917,3265.7475,20.9016,0.64,306118393.0,426564792.6
000001.SH,20230322,3265.7475,3263.4129,3279.3938,3255.7394,3255.6505,10.097,0.3101,290840462.0,382509081.3
000001.SH,20230321,3255.6505,3240.8388,3255.9997,3237.8934,3234.9103,20.7402,0.6411,301810779.0,388047055.9
000001.SH,20230320,3234.9103,3253.9302,3267.9931,3231.6459,3250.546,-15.6357,-0.481,392517391.0,480292404.9
000001.SH,20230317,3250.546,3245.2604,3279.9228,3240.157,3226.8912,23.6548,0.7331,343001022.0,431983057.7
000001.SH,20230316,3226.8912,3244.4699,3257.433,3224.7223,3263.3148,-36.4236,-1.1162,327389632.0,392910208.4
000001.SH,20230315,3263.3148,3261.0284,3273.1232,3256.8566,3245.3123,18.0025,0.5547,305168798.0,373276384.4
000001.SH,20230314,3245.3123,3261.9219,3262.0025,3216.9927,3268.6955,-23.3832,-0.7154,319906033.0,409976276.1
000001.SH,20230313,3268.6955,3228.1239,3268.6955,3228.1239,3230.0766,38.6189,1.1956,294928087.0,364414206.5
000001.SH,20230310,3230.0766,3255.5121,3262.147,3229.4959,3276.0937,-46.0171,-1.4046,281135410.0,342198577.6
000001.SH,20230309,3276.0937,3285.9427,3289.06,3259.9999,3283.2479,-7.1542,-0.2179,264021859.0,328825695.5
000001.SH,20230308,3283.2479,3271.8798,3283.2479,3263.6927,3285.0988,-1.8509,-0.0563,260443547.0,312822175.7
000001.SH,20230307,3285.0988,3320.211,3342.8585,3284.4099,3322.0259,-36.9271,-1.1116,389957956.0,430081145.2
000001.SH,20230306,3322.0259,3332.0235,3333.0619,3308.7255,3328.3927,-6.3668,-0.1913,340530446.0,431616811.1
000001.SH,20230303,3328.3927,3314.7727,3330.6046,3302.6231,3310.6536,17.7391,0.5358,343996919.0,388860006.7
000001.SH,20230302,3310.6536,3308.0113,3320.7441,3306.4554,3312.3478,-1.6942,-0.0511,328520016.0,389390626.9
000001.SH,20230301,3312.3478,3279.1364,3315.1604,3272.0351,3279.6053,32.7425,0.9984,318398704.0,384387413.8
000001.SH,20230228,3279.6053,3265.742,3280.4154,3246.1446,3258.0344,21.5709,0.6621,251625032.0,318030137.3
000001.SH,20230227,3258.0344,3256.9998,3276.5791,3251.7213,3267.1597,-9.1253,-0.2793,242855344.0,324605090.9
000001.SH,20230224,3267.1597,3287.2553,3288.3922,3253.9748,3287.477,-20.3173,-0.618,234206306.0,308004347.7
000001.SH,20230223,3287.477,3293.5219,3307.4385,3275.3621,3291.1477,-3.6707,-0.1115,262324304.0,334364534.4
000001.SH,20230222,3291.1477,3292.0489,3307.0343,3286.7207,3306.5236,-15.3759,-0.465,255403985.0,320515620.0
000001.SH,20230221,3306.5236,3291.6312,3308.7908,3282.436,3290.3383,16.1853,0.4919,324409449.0,390691271.6
000001.SH,20230220,3290.3383,3230.4728,3291.0388,3225.8427,3224.0243,66.314,2.0569,325007733.0,397720315.3
000001.SH,20230217,3224.0243,3244.7325,3262.4729,3223.2581,3249.0295,-25.0052,-0.7696,278451237.0,355625842.5
000001.SH,20230216,3249.0295,3281.7352,3308.8279,3231.3421,3280.4919,-31.4624,-0.9591,380863545.0,468382512.2
000001.SH,20230215,3280.4919,3294.015,3296.1995,3274.5505,3293.2825,-12.7906,-0.3884,269939123.0,357621816.1
