ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399001.SZ,20230331,11726.3977,11666.3079,11737.2835,11657.5713,11651.8314,74.5663,0.64,399574950.0,556599139.9
399001.SZ,20230330,11651.8314,11578.3272,11656.4801,11505.5497,11579.9147,71.9167,0.621,392133461.0,543036386.5
399001.SZ,20230329,11579.9147,11584.9149,11623.4253,11538.1719,11564.4505,15.4642,0.1337,413628272.0,575550878.9
399001.SZ,20230328,11564.4505,11637.5076,11649.1519,11548.4184,11647.9387,-83.4882,-0.7168,445698586.0,607318157.3
399001.SZ,20230327,11647.9387,11621.923,11658.9999,11558.3799,11634.2202,13.7185,0.1179,494233912.0,686374442.1
399001.SZ,20230324,11634.2202,11616.4641,11648.5382,11581.4247,11605.2891,28.9311,0.2493,478515087.0,643967262.5
399001.SZ,20230323,11605.2891,11457.7856,11605.2891,11442.9454,11496.9307,108.3584,0.9425,437895647.0,594115483.0
399001.SZ,20230322,11496.9307,11459.8289,11521.4171,11448.1914,11427.2467,69.684,0.6098,445982825.0,575341080.6
399001.SZ,20230321,11427.2467,11270.0666,11427.2467,11270.0666,11247.1347,180.112,1.6014,387093060.0,504999749.0
399001.SZ,20230320,11247.1347,11289.9614,11342.0269,11231.0135,11278.0462,-30.9115,-0.2741,438320664.0,577224812.7
399001.SZ,20230317,11278.0462,11328.3726,11388.524,11245.1469,11237.7039,40.3423,0.359,405882900.0,541126224.3
399001.SZ,20230316,11237.7039,11336.7547,11381.7323,11223.0977,11413.4325,-175.7286,-1.5397,357606531.0,452132167.2
399001.SZ,20230315,11413.4325,11485.9487,11537.7238,11408.1894,11416.5695,-3.137,-0.0275,350589630.0,445104875.4
399001.SZ,20230314,11416.5695,11483.645,11486.5575,11282.5769,11505.0237,-88.4542,-0.7688,397559735.0,522440932.7
399001.SZ,20230313,11505.0237,11405.137,11511.1229,11396.6109,11442.5371,62.4866,0.5461,363383445.0,474946171.0
399001.SZ,20230310,11442.5371,11513.662,11535.5373,11437.9853,11579.9936,-137.4565,-1.187,361217065.0,467353246.8
399001.SZ,20230309,11579.9936,11605.936,11637.0266,11525.2332,11598.2881,-18.2945,-0.1577,328391193.0,427827723.2
399001.SZ,20230308,11598.2881,11566.5673,11617.9401,11534.6655,11608.5832,-10.2951,-0.0887,314567553.0,405672051.6
399001.SZ,20230307,11608.5832,11824.1712,11839.6143,11606.1943,11842.8846,-234.3014,-1.9784,408967132.0,502562851.6
399001.SZ,20230306,11842.8846,11850.8222,11862.3724,11742.1277,11851.9177,-9.0331,-0.0762,385843288.0,519291321.9
399001.SZ,20230303,11851.9177,11862.1602,11895.974,11770.3426,11849.5074,2.4103,0.0203,386886331.0,480634863.2
399001.SZ,20230302,11849.5074,11902.1696,11929.1456,11837.1212,11914.318,-64.8106,-0.544,430983053.0,544079910.4
399001.SZ,20230301,11914.318,11783.7648,11931.0976,11751.3621,11783.7975,130.5205,1.1076,415273774.0,534542031.2
399001.SZ,20230228,11783.7975,11745.1586,11792.6792,11666.373,11701.9465,81.851,0.6995,346662456.0,438728229.9
399001.SZ,20230227,11701.9465,11728.0948,11781.2819,11678.7967,11787.4527,-85.5062,-0.7254,337795673.0,429031645.7
399001.SZ,20230224,11787.4527,11887.7686,11889.2351,11742.7301,11884.3049,-96.8522,-0.815,326405501.0,417778046.8
399001.SZ,20230223,11884.3049,11895.4629,11963.1439,11829.8694,11900.1225,-15.8176,-0.1329,382701854.0,472884405.0
399001.SZ,20230222,11900.1225,11892.1395,11963.2124,11868.7936,11968.6048,-68.4823,-0.5722,369593896.0,462831583.8
399001.SZ,20230221,11968.6048,11947.6526,12004.9999,11886.2381,11954.1276,14.4772,0.1211,430156398.0,530710903.4
399001.SZ,20230220,11954.1276,11717.6846,11956.8941,11681.5327,11715.7684,238.3592,2.0345,438487046.0,552058242.2
399001.SZ,20230217,11715.7684,11894.8834,11927.1063,11713.8001,11907.399,-191.6306,-1.6093,452502268.0,558493619.1
399001.SZ,20230216,11907.399,12064.0435,12163.9692,11826.7219,12064.3775,-156.9785,-1.3012,603109668.0,724618469.0
399001.SZ,20230215,12064.3775,12103.718,12132.8039,12036.2338,12094.9404,-30.5629,-0.2527,464237084.0,579686819.5
399001.SZ,20230214,12094.9404,12142.8348,12143.2905,12035.5515,12113.6075,-18.6671,-0.1541,448099797.0,558431029.8
399001.SZ,20230213,12113.6075,11964.7468,12116.0404,11952.603,11976.8529,136.7546,1.1418,466500204.0,582132385.1
399001.SZ,20230210,11976.8529,12031.7181,12062.1634,11917.7436,12048.2717,-71.4188,-0.5928,458163546.0,551126051.0
399001.SZ,20230209,12048.2717,11821.9576,12048.2717,11811.9824,11853.463,194.8087,1.6435,442551618.0,549344191.4
399001.SZ,20230208,11853.463,11939.8614,11957.0107,11843.2878,11926.8803,-73.4173,-0.6156,428272278.0,511448766.9
399001.SZ,20230207,11926.8803,11936.3617,11958.2243,11864.7196,11912.5612,14.3191,0.1202,440822033.0,524398559.2
399001.SZ,20230206,11912.5612,11957.2702,11977.2443,11841.6694,12054.295,-141.7338,-1.1758,424219891.0,525584144.4
399001.SZ,20230203,12054.295,12086.2833,12095.388,11904.277,12131.2009,-76.9059,-0.634,447992474.0,536009517.8
399001.SZ,20230202,12131.2009,12187.551,12208.8766,12107.5181,12158.1902,-26.9893,-0.222,490735378.0,595594549.9
399001.SZ,20230201,12158.1902,12034.8813,12158.1902,11984.4514,12001.2646,156.9256,1.3076,498656713.0,591211958.8
399001.SZ,20230131,12001.2646,12076.1392,12115.4473,11987.0115,12097.7623,-96.4977,-0.7976,445449977.0,524922474.8
399001.SZ,20230130,12097.7623,12229.3765,12246.0148,12088.2371,11980.6201,117.1422,0.9778,485925548.0,608917708.2
399001.SZ,20230120,11980.6201,11942.1479,11997.5262,11931.8811,11913.2639,67.3562,0.5654,343456691.0,420081970.8
399001.SZ,20230119,11913.2639,11796.396,11913.2639,11763.8181,11810.6598,102.6041,0.8687,326621913.0,390151666.4
399001.SZ,20230118,11810.6598,11813.3785,11855.4409,11793.3228,11800.5529,10.1069,0.0856,314382505.0,369658040.6
399001.SZ,20230117,11800.5529,11794.9568,11830.5767,11746.7609,11785.7679,14.785,0.1254,331375769.0,404543870.9
399001.SZ,20230116,11785.7679,11612.3621,11886.9475,11612.3621,11602.3042,183.4637,1.5813,392756663.0,503878168.7
399001.SZ,20230113,11602.3042,11509.2051,11602.3042,11489.1866,11465.728,136.5762,1.1912,331434486.0,414249451.5
399001.SZ,20230112,11465.728,11470.6066,11528.927,11425.1051,11439.4395,26.2885,0.2298,340072633.0,406082464.9
399001.SZ,20230111,11439.4395,11498.9698,11563.7801,11424.2545,11506.7938,-67.3543,-0.5853,349159804.0,432601300.5
399001.SZ,20230110,11506.7938,11455.6021,11526.2794,11413.9918,11450.1472,56.6466,0.4947,342008406.0,436844214.8
399001.SZ,20230109,11450.1472,11411.3703,11490.5947,11408.6652,11367.7321,82.4151,0.725,360313472.0,464473354.3
399001.SZ,20230106,11367.7321,11327.0258,11443.4487,11314.3464,11332.0103,35.7218,0.3152,407144027.0,499549690.5
399001.SZ,20230105,11332.0103,11136.7707,11346.2194,11136.7707,11095.3733,236.637,2.1328,410853816.0,507125753.8
399001.SZ,20230104,11095.3733,11099.1479,11149.1537,11035.7724,11117.1303,-21.757,-0.1957,412144084.0,467334510.2
399001.SZ,20230103,11117.1303,11003.0469,11134.9614,10921.4191,11015.986,101.1443,0.9182,397899643.0,457443911.9
