ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
A.DCE,20250403,3954.0,3939.0,3956.0,3982.0,3944.0,3979.0,3961.0,40.0,22.0,171119.0,677954.66,157781.0,
A2505.DCE,20250403,3954.0,3939.0,3956.0,3982.0,3944.0,3979.0,3961.0,40.0,22.0,171119.0,677954.66,157781.0,-1029.0
A2507.DCE,20250403,3974.0,3958.0,3974.0,3996.0,3961.0,3992.0,3977.0,34.0,19.0,46625.0,185429.7,92375.0,-1897.0
A2509.DCE,20250403,3992.0,3978.0,3988.0,4012.0,3975.0,4008.0,3992.0,30.0,14.0,38912.0,155360.82,77249.0,1954.0
A2511.DCE,20250403,3963.0,3954.0,3960.0,4000.0,3953.0,3980.0,3967.0,26.0,13.0,3799.0,15071.71,35258.0,275.0
A2601.DCE,20250403,3968.0,3960.0,3965.0,3992.0,3961.0,3989.0,3975.0,29.0,15.0,1147.0,4560.27,5612.0,23.0
A2603.DCE,20250403,3975.0,3969.0,3978.0,3998.0,3969.0,3996.0,3983.0,27.0,14.0,563.0,2242.59,1742.0,14.0
AG.SHF,20250403,8401.0,8407.0,8418.0,8461.0,8260.0,8286.0,8373.0,-121.0,-34.0,1044703.0,13121709.97,414717.0,
AG2504.SHF,20250403,8386.0,8391.0,8405.0,8442.0,8254.0,8282.0,8340.0,-109.0,-51.0,10786.0,134935.99,15216.0,-3064.0
AG2505.SHF,20250403,8388.0,8397.0,8407.0,8449.0,8254.0,8282.0,8353.0,-115.0,-44.0,33861.0,424275.63,20780.0,-1779.0
AG2506.SHF,20250403,8401.0,8407.0,8418.0,8461.0,8260.0,8286.0,8373.0,-121.0,-34.0,1044703.0,13121709.97,414717.0,-27431.0
AG2507.SHF,20250403,8411.0,8420.0,8440.0,8471.0,8275.0,8300.0,8372.0,-120.0,-48.0,27025.0,339413.45,24946.0,2021.0
AG2508.SHF,20250403,8420.0,8431.0,8444.0,8479.0,8285.0,8311.0,8398.0,-120.0,-33.0,329240.0,4147760.89,152474.0,6541.0
AG2509.SHF,20250403,8436.0,8444.0,8452.0,8491.0,8300.0,8326.0,8403.0,-118.0,-41.0,27005.0,340415.47,26643.0,3928.0
AG2510.SHF,20250403,8445.0,8453.0,8471.0,8502.0,8310.0,8333.0,8416.0,-120.0,-37.0,84764.0,1070157.51,58641.0,460.0
AG2511.SHF,20250403,8459.0,8464.0,8471.0,8513.0,8322.0,8346.0,8419.0,-118.0,-45.0,26712.0,337352.38,15339.0,-2149.0
AG2512.SHF,20250403,8468.0,8478.0,8492.0,8524.0,8332.0,8362.0,8425.0,-116.0,-53.0,33537.0,423859.18,72881.0,3772.0
AG2601.SHF,20250403,8483.0,8493.0,8489.0,8538.0,8346.0,8373.0,8435.0,-120.0,-58.0,7841.0,99216.81,21798.0,1182.0
AG2602.SHF,20250403,8493.0,8511.0,8520.0,8555.0,8358.0,8392.0,8462.0,-119.0,-49.0,32044.0,406737.94,46292.0,4778.0
AG2603.SHF,20250403,8509.0,8531.0,8536.0,8569.0,8374.0,8410.0,8500.0,-121.0,-31.0,18846.0,240299.63,20536.0,6389.0
AGL.SHF,20250403,8386.0,8391.0,8405.0,8442.0,8254.0,8282.0,8340.0,-109.0,-51.0,10786.0,134935.99,15216.0,
AL.DCE,20250403,3954.0,3939.0,3956.0,3982.0,3944.0,3979.0,3961.0,40.0,22.0,171119.0,677954.66,157781.0,
AL.SHF,20250403,20435.0,20440.0,20455.0,20520.0,20330.0,20420.0,20435.0,-20.0,-5.0,144438.0,1475874.55,174032.0,
AL2504.SHF,20250403,20495.0,20480.0,20485.0,20550.0,20380.0,20495.0,20480.0,15.0,0.0,9875.0,101124.98,23505.0,-2940.0
AL2505.SHF,20250403,20435.0,20440.0,20455.0,20520.0,20330.0,20420.0,20435.0,-20.0,-5.0,144438.0,1475874.55,174032.0,-11345.0
AL2506.SHF,20250403,20410.0,20405.0,20410.0,20485.0,20290.0,20365.0,20390.0,-40.0,-15.0,85840.0,875147.62,148116.0,4513.0
AL2507.SHF,20250403,20390.0,20380.0,20390.0,20465.0,20275.0,20330.0,20355.0,-50.0,-25.0,26019.0,264857.62,60409.0,-387.0
AL2508.SHF,20250403,20375.0,20365.0,20400.0,20440.0,20255.0,20315.0,20330.0,-50.0,-35.0,8004.0,81378.14,30590.0,499.0
AL2509.SHF,20250403,20365.0,20375.0,20390.0,20435.0,20250.0,20290.0,20335.0,-85.0,-40.0,6390.0,64984.49,20850.0,931.0
AL2510.SHF,20250403,20380.0,20365.0,20290.0,20440.0,20245.0,20270.0,20305.0,-95.0,-60.0,2944.0,29893.73,7215.0,903.0
AL2511.SHF,20250403,20375.0,20380.0,20375.0,20415.0,20250.0,20290.0,20305.0,-90.0,-75.0,1327.0,13473.64,4679.0,901.0
AL2512.SHF,20250403,20325.0,20345.0,20375.0,20395.0,20230.0,20245.0,20290.0,-100.0,-55.0,300.0,3044.05,6841.0,4.0
AL2601.SHF,20250403,20330.0,20350.0,20330.0,20400.0,20230.0,20230.0,20315.0,-120.0,-35.0,298.0,3027.54,8004.0,188.0
AL2602.SHF,20250403,20365.0,20355.0,20350.0,20390.0,20230.0,20235.0,20305.0,-120.0,-50.0,299.0,3035.62,1573.0,243.0
AL2603.SHF,20250403,20360.0,20370.0,20305.0,20400.0,20245.0,20245.0,20290.0,-125.0,-80.0,178.0,1806.13,416.0,125.0
ALL.SHF,20250403,20495.0,20480.0,20485.0,20550.0,20380.0,20495.0,20480.0,15.0,0.0,9875.0,101124.98,23505.0,
AO.SHF,20250403,2890.0,2925.0,2880.0,2904.0,2853.0,2854.0,2879.0,-71.0,-46.0,204821.0,1179430.53,198702.0,
AO2504.SHF,20250403,2880.0,2937.0,2868.0,2878.0,2854.0,2863.0,2866.0,-74.0,-71.0,90.0,516.03,5550.0,-45.0
AO2505.SHF,20250403,2890.0,2925.0,2880.0,2904.0,2853.0,2854.0,2879.0,-71.0,-46.0,204821.0,1179430.53,198702.0,-11471.0
AO2506.SHF,20250403,2893.0,2924.0,2905.0,2905.0,2859.0,2860.0,2879.0,-64.0,-45.0,3324.0,19143.84,6446.0,-47.0
AO2507.SHF,20250403,2902.0,2926.0,2901.0,2903.0,2853.0,2853.0,2878.0,-73.0,-48.0,32998.0,189982.76,100818.0,1619.0
AO2508.SHF,20250403,2927.0,2949.0,2921.0,2928.0,2883.0,2889.0,2908.0,-60.0,-41.0,486.0,2826.85,2520.0,59.0
AO2509.SHF,20250403,2955.0,2985.0,2954.0,2957.0,2906.0,2907.0,2933.0,-78.0,-52.0,47547.0,278984.47,115271.0,5248.0
AO2510.SHF,20250403,2974.0,3011.0,2968.0,2974.0,2924.0,2924.0,2949.0,-87.0,-62.0,223.0,1315.49,1274.0,76.0
AO2511.SHF,20250403,2990.0,3011.0,2986.0,2987.0,2937.0,2940.0,2961.0,-71.0,-50.0,161.0,953.5,1077.0,17.0
AO2512.SHF,20250403,3002.0,3022.0,2994.0,2995.0,2952.0,2952.0,2973.0,-70.0,-49.0,120.0,713.73,877.0,38.0
AO2601.SHF,20250403,3003.0,3031.0,3000.0,3011.0,2951.0,2967.0,2984.0,-64.0,-47.0,1266.0,7556.18,5045.0,241.0
