ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
FED30D,20250403,95.672,95.685,95.7,95.669,95.692,95.705,95.72,95.69,3114
GSK.UK,20250403,1456.54,1412.55,1465.06,1409.04,1464.44,1420.45,1472.96,1416.46,23164
RNO.FR,20250403,45.33,44.11,45.33,42.11,45.47,44.25,45.47,42.27,39332
GER30,20250403,21703.26,20385.75,21764.0,20373.99,21704.76,20387.25,21767.24,20375.99,189193
USDOLLAR,20250403,12894.0,13024.0,13049.0,12885.0,12897.0,13025.0,13051.0,12887.0,390158
BMW.DE,20250403,70.83,67.86,71.24,66.82,71.05,68.08,71.6,67.07,60657
CARBONF,20250403,66.41,63.96,66.41,62.65,66.46,64.01,66.46,62.73,36661
CADCHF.FXCM,20250403,0.60909,0.6036,0.61058,0.59722,0.61023,0.60575,0.61092,0.5976,469682
EURNOK.FXCM,20250403,11.4062,11.7839,11.83897,11.38711,11.423,11.803,11.84739,11.40526,954606
VOW.DE,20250403,92.16,90.9,92.16,86.24,92.39,91.13,92.42,86.7,29750
EMBASKET,20250403,7097.0,6995.0,7112.0,6975.0,7107.0,6996.0,7115.0,6978.0,357031
EURNZD.FXCM,20250403,1.90632,1.95747,1.9731,1.90498,1.90851,1.96003,1.97385,1.90653,634905
EUSTX50,20250403,5119.57,4842.24,5128.2,4836.18,5121.37,4844.04,5130.1,4838.08,103818
NZDCAD.FXCM,20250403,0.81589,0.79498,0.81645,0.79017,0.8174,0.79727,0.8177,0.79073,425795
XRO.AU,20250403,150.41,144.59,150.41,144.41,150.91,145.07,150.91,144.93,26485
A2M.AU,20250403,7.75,7.75,7.77,7.57,7.88,7.88,7.9,7.71,2091
GMG.AU,20250403,28.95,27.44,28.95,27.36,29.08,27.58,29.08,27.5,8232
LHA.DE,20250403,6.28,5.99,6.28,5.73,6.41,6.12,6.45,5.86,23674
SOYF,20250403,1012.16,976.77,1012.16,969.49,1012.62,977.23,1013.27,970.75,20808
2USNOTE,20250403,104.021,104.112,104.462,103.986,104.041,104.132,104.482,104.006,51458
MBG.DE,20250403,51.43,49.11,51.46,48.18,51.67,49.34,51.71,48.42,77508
SUGARNYF,20250403,19.04,18.9,19.06,18.74,19.07,18.93,19.09,18.78,5029
STM.FR,20250403,18.14,17.15,18.14,16.44,18.27,17.28,18.27,16.58,112952
XAGUSD.FXCM,20250403,31.836,29.572,31.975,29.174,31.874,29.61,32.016,29.21,398690
AIR.FR,20250403,157.91,147.14,157.91,144.61,158.44,147.67,158.44,145.15,24291
ALO.FR,20250403,19.69,18.36,19.69,17.7,19.82,18.48,19.84,17.84,16437
RWE.DE,20250403,34.07,32.18,34.38,32.03,34.2,32.31,34.52,32.16,26653
COL.AU,20250403,20.23,21.02,21.03,20.01,20.36,21.15,21.16,20.32,6396
USDCNH.FXCM,20250403,7.27721,7.29087,7.30011,7.23887,7.2834,7.29913,7.30079,7.23951,842093
AUDNZD.FXCM,20250403,1.09122,1.07926,1.09333,1.07721,1.09338,1.08155,1.09395,1.07766,794817
GBPUSD.FXCM,20250403,1.30989,1.28985,1.3113,1.28519,1.31009,1.29035,1.31151,1.28538,876312
VIV.FR,20250403,2.58,2.38,2.58,2.34,2.71,2.52,2.71,2.47,5705
EURCHF.FXCM,20250403,0.94937,0.94246,0.94948,0.93616,0.94982,0.9444,0.95047,0.93648,763174
SHEL.UK,20250403,2655.66,2485.41,2655.66,2472.64,2669.36,2499.11,2669.36,2486.34,58451
BHP.AU,20250403,36.98,36.7,36.98,35.9,37.11,36.83,37.11,36.05,14084
TLS.AU,20250403,4.27,4.28,4.28,4.24,4.4,4.41,4.41,4.37,674
DBK.DE,20250403,20.81,18.62,20.81,18.22,20.93,18.756,20.93,18.39,148636
ALL.AU,20250403,65.09,61.04,65.09,60.59,65.5,61.27,65.5,60.86,24448
SCHATZ,20250403,107.145,107.339,107.533,107.145,107.165,107.359,107.553,107.165,24842
BAYN.DE,20250403,21.22,20.03,21.35,19.58,21.35,20.16,21.49,19.71,55260
NAB.AU,20250403,34.06,33.55,34.19,33.45,34.19,33.68,34.33,33.6,12633
TUI1.DE,20250403,6.17,5.79,6.17,5.5,6.31,5.92,6.31,5.65,17266
5USNOTE,20250403,109.268,109.359,110.186,109.188,109.288,109.373,110.206,109.208,61468
ML.FR,20250403,31.89,31.43,31.98,30.65,32.01,31.56,32.12,30.79,26480
ENGI.FR,20250403,18.82,18.35,18.83,18.31,18.95,18.48,18.96,18.45,20228
OR.FR,20250403,347.9,350.13,363.84,347.29,348.93,351.16,364.97,348.41,77864
ADS.DE,20250403,196.23,198.08,200.2,182.43,196.86,198.71,201.22,183.2,54154
NZDCHF.FXCM,20250403,0.4973,0.47992,0.49742,0.47614,0.49838,0.48233,0.49838,0.47675,358722
GASOLINEF,20250403,2.1472,2.0623,2.1575,2.0038,2.1592,2.0743,2.1625,2.0088,247009
AUS200,20250403,7752.99,7349.48,7762.08,7275.96,7754.19,7350.68,7763.08,7280.48,122453
GBPAUD.FXCM,20250403,2.06833,2.13051,2.14978,2.06743,2.07173,2.13366,2.15046,2.06789,983438
TTE.FR,20250403,56.48,53.31,56.48,52.83,56.72,53.54,56.72,53.06,85673
BAC.US,20250403,37.15,34.32,37.15,33.6,37.28,34.45,37.28,33.74,65314
