trade_date,ts_code,up_limit,down_limit
20250403,000001.SZ,12.51,10.23
20250403,000002.SZ,7.74,6.34
20250403,000004.SZ,10.95,8.96
20250403,000006.SZ,7.77,6.35
20250403,000007.SZ,6.75,5.53
20250403,000008.SZ,2.81,2.3
20250403,000009.SZ,9.02,7.38
20250403,000010.SZ,3.09,2.53
20250403,000011.SZ,9.28,7.6
20250403,000012.SZ,5.49,4.49
20250403,000014.SZ,11.92,9.76
20250403,000016.SZ,5.01,4.1
20250403,000017.SZ,6.83,5.59
20250403,000019.SZ,7.21,5.9
20250403,000020.SZ,13.44,11.0
20250403,000021.SZ,20.53,16.79
20250403,000025.SZ,20.13,16.47
20250403,000026.SZ,12.18,9.96
20250403,000027.SZ,7.04,5.76
20250403,000028.SZ,28.4,23.24
20250403,000029.SZ,16.35,13.37
20250403,000030.SZ,6.46,5.28
20250403,000031.SZ,2.9,2.38
20250403,000032.SZ,26.08,21.34
20250403,000034.SZ,44.47,36.39
20250403,000035.SZ,5.21,4.27
20250403,000036.SZ,4.21,3.45
20250403,000037.SZ,9.13,7.47
20250403,000039.SZ,9.42,7.7
20250403,000040.SZ,0.51,0.47
20250403,000042.SZ,6.78,5.54
20250403,000045.SZ,12.78,10.46
20250403,000048.SZ,19.53,15.98
20250403,000049.SZ,25.42,20.8
20250403,000050.SZ,9.04,7.4
20250403,000055.SZ,4.49,3.67
20250403,000056.SZ,3.71,3.03
20250403,000058.SZ,9.09,7.43
20250403,000059.SZ,5.58,4.56
20250403,000060.SZ,5.4,4.42
20250403,000061.SZ,7.06,5.78
20250403,000062.SZ,25.34,20.74
20250403,000063.SZ,38.54,31.54
20250403,000065.SZ,11.63,9.51
20250403,000066.SZ,15.44,12.64
20250403,000068.SZ,3.87,3.17
20250403,000069.SZ,2.7,2.21
20250403,000070.SZ,6.21,5.61
20250403,000078.SZ,2.71,2.21
20250403,000088.SZ,5.27,4.31
20250403,000089.SZ,7.44,6.08
20250403,000090.SZ,4.19,3.43
20250403,000096.SZ,21.19,17.33
20250403,000099.SZ,25.85,21.15
20250403,000100.SZ,4.96,4.06
20250403,000151.SZ,15.73,12.87
20250403,000153.SZ,7.01,5.73
20250403,000155.SZ,12.51,10.23
20250403,000156.SZ,9.12,7.46
20250403,000157.SZ,8.38,6.86
20250403,000158.SZ,23.93,19.58
20250403,000159.SZ,5.95,4.87
20250403,000166.SZ,5.45,4.46
20250403,000301.SZ,9.08,7.43
20250403,000333.SZ,83.56,68.36
20250403,000338.SZ,17.58,14.38
20250403,000400.SZ,26.55,21.73
20250403,000401.SZ,5.49,4.49
20250403,000402.SZ,3.08,2.52
20250403,000403.SZ,24.02,19.66
20250403,000404.SZ,8.54,6.98
20250403,000407.SZ,3.59,2.93
20250403,000408.SZ,40.01,32.73
20250403,000409.SZ,12.93,10.58
20250403,000410.SZ,8.22,6.72
20250403,000411.SZ,11.83,9.68
20250403,000415.SZ,3.75,3.07
20250403,000417.SZ,6.08,4.98
20250403,000419.SZ,6.28,5.14
20250403,000420.SZ,4.14,3.38
20250403,000421.SZ,6.62,5.42
20250403,000422.SZ,15.17,12.41
20250403,000423.SZ,67.41,55.15
20250403,000425.SZ,9.67,7.91
20250403,000426.SZ,15.33,12.55
20250403,000428.SZ,3.51,2.87
20250403,000429.SZ,15.37,12.57
20250403,000430.SZ,8.89,7.27
20250403,000488.SZ,2.01,1.81
20250403,000498.SZ,6.53,5.35
20250403,000501.SZ,10.01,8.19
20250403,000503.SZ,13.13,10.75
20250403,000504.SZ,10.93,8.95
20250403,000505.SZ,6.57,5.37
20250403,000506.SZ,5.82,5.26
20250403,000507.SZ,5.67,4.64
20250403,000509.SZ,3.51,2.87
20250403,000510.SZ,4.54,3.72
20250403,000513.SZ,39.81,32.57
20250403,000514.SZ,4.35,3.56
20250403,000516.SZ,6.09,4.99
20250403,000517.SZ,2.13,1.75
20250403,000518.SZ,2.82,2.3
20250403,000519.SZ,18.71,15.31
20250403,000520.SZ,4.84,3.96
20250403,000521.SZ,9.11,7.45
20250403,000523.SZ,3.74,3.06
20250403,000524.SZ,13.79,11.29
20250403,000525.SZ,7.01,6.35
20250403,000526.SZ,52.56,43.0
20250403,000528.SZ,12.76,10.44
20250403,000529.SZ,6.6,5.4
20250403,000530.SZ,6.42,5.26
20250403,000531.SZ,7.01,5.73
20250403,000532.SZ,17.14,14.02
20250403,000533.SZ,7.19,5.89
20250403,000534.SZ,17.09,13.99
20250403,000536.SZ,5.15,4.21
20250403,000537.SZ,9.54,7.8
20250403,000538.SZ,62.49,51.13
20250403,000539.SZ,5.17,4.23
20250403,000541.SZ,7.6,6.22
20250403,000543.SZ,8.4,6.88
20250403,000544.SZ,9.47,7.75
20250403,000545.SZ,2.38,1.94
20250403,000546.SZ,4.93,4.03
20250403,000547.SZ,8.02,6.56
20250403,000548.SZ,6.0,4.91
20250403,000550.SZ,25.2,20.62
20250403,000551.SZ,13.89,11.37
20250403,000552.SZ,2.78,2.28
20250403,000553.SZ,6.5,5.32
20250403,000554.SZ,6.82,5.58
20250403,000555.SZ,12.86,10.52
20250403,000557.SZ,6.12,5.0
20250403,000558.SZ,4.3,3.52
20250403,000559.SZ,8.2,6.71
20250403,000560.SZ,3.26,2.66
20250403,000561.SZ,8.67,7.09
20250403,000563.SZ,3.84,3.14
20250403,000564.SZ,2.94,2.4
20250403,000565.SZ,5.87,4.81
20250403,000566.SZ,5.04,4.12
20250403,000567.SZ,6.46,5.28
20250403,000568.SZ,142.68,116.74
20250403,000570.SZ,6.04,4.94
20250403,000571.SZ,4.82,3.94
20250403,000572.SZ,4.43,3.63
20250403,000573.SZ,5.06,4.14
20250403,000576.SZ,8.11,6.63
20250403,000581.SZ,23.31,19.07
20250403,000582.SZ,9.46,7.74
20250403,000584.SZ,2.09,1.89
20250403,000586.SZ,10.38,8.5
20250403,000589.SZ,5.36,4.38
20250403,000590.SZ,9.68,7.92
20250403,000591.SZ,4.92,4.02
20250403,000592.SZ,3.49,2.85
20250403,000593.SZ,5.98,4.9
20250403,000595.SZ,6.25,5.11
20250403,000596.SZ,187.77,153.63
20250403,000597.SZ,5.79,4.73
20250403,000598.SZ,7.57,6.19
20250403,000599.SZ,4.8,3.92
20250403,000600.SZ,6.59,5.39
20250403,000601.SZ,6.52,5.34
20250403,000603.SZ,16.9,13.82
20250403,000605.SZ,8.04,6.58
20250403,000607.SZ,4.38,3.58
20250403,000608.SZ,1.86,1.52
20250403,000609.SZ,2.55,2.31
20250403,000610.SZ,14.7,12.02
20250403,000612.SZ,8.2,6.71
20250403,000615.SZ,3.81,3.45
20250403,000617.SZ,7.13,5.83
20250403,000619.SZ,6.59,5.39
20250403,000620.SZ,1.87,1.53
20250403,000622.SZ,2.8,2.54
20250403,000623.SZ,18.47,15.11
20250403,000625.SZ,14.27,11.67
20250403,000626.SZ,5.89,4.82
20250403,000627.SZ,4.26,3.48
20250403,000628.SZ,51.39,42.05
20250403,000629.SZ,3.15,2.57
20250403,000630.SZ,3.76,3.08
20250403,000631.SZ,3.16,2.58
20250403,000632.SZ,3.66,3.0
20250403,000633.SZ,5.48,4.48
20250403,000635.SZ,8.79,7.19
20250403,000636.SZ,15.96,13.06
20250403,000637.SZ,3.84,3.14
20250403,000638.SZ,5.43,4.45
20250403,000639.SZ,3.04,2.48
20250403,000650.SZ,6.16,5.04
20250403,000651.SZ,49.69,40.65
20250403,000652.SZ,4.24,3.47
20250403,000655.SZ,7.51,6.15
20250403,000656.SZ,1.39,1.25
20250403,000657.SZ,11.1,9.08
20250403,000659.SZ,3.33,2.73
20250403,000661.SZ,111.65,91.35
20250403,000663.SZ,6.24,5.1
20250403,000665.SZ,5.53,4.53
20250403,000668.SZ,5.67,4.64
20250403,000669.SZ,1.94,1.76
20250403,000670.SZ,6.95,5.69
20250403,000672.SZ,8.69,7.11
20250403,000676.SZ,8.97,7.34
20250403,000677.SZ,4.25,3.47
20250403,000678.SZ,13.15,10.76
20250403,000679.SZ,6.8,5.56
20250403,000680.SZ,9.83,8.05
20250403,000681.SZ,23.3,19.06
20250403,000682.SZ,11.02,9.02
20250403,000683.SZ,6.12,5.0
20250403,000685.SZ,9.83,8.05
20250403,000686.SZ,8.86,7.25
20250403,000688.SZ,13.13,10.75
20250403,000690.SZ,4.59,3.75
20250403,000691.SZ,3.23,2.65
20250403,000692.SZ,3.66,3.0
20250403,000695.SZ,10.87,8.89
20250403,000697.SZ,8.76,7.16
20250403,000698.SZ,3.7,3.02
20250403,000700.SZ,8.68,7.1
20250403,000701.SZ,5.26,4.3
20250403,000702.SZ,7.4,6.06
20250403,000703.SZ,6.62,5.42
20250403,000705.SZ,8.95,7.33
20250403,000707.SZ,7.76,6.35
20250403,000708.SZ,13.83,11.31
20250403,000709.SZ,2.46,2.02
20250403,000710.SZ,15.18,12.42
20250403,000711.SZ,1.87,1.69
20250403,000712.SZ,13.85,11.33
20250403,000713.SZ,7.78,6.36
20250403,000715.SZ,7.72,6.32
20250403,000716.SZ,7.14,5.84
20250403,000717.SZ,2.96,2.42
20250403,000718.SZ,2.39,1.95
20250403,000719.SZ,12.71,10.4
20250403,000720.SZ,3.15,2.57
20250403,000721.SZ,9.98,8.16
20250403,000722.SZ,13.07,10.69
20250403,000723.SZ,4.97,4.07
20250403,000725.SZ,4.63,3.79
20250403,000726.SZ,6.82,5.58
20250403,000727.SZ,2.98,2.44
20250403,000728.SZ,8.66,7.08
20250403,000729.SZ,13.79,11.29
20250403,000731.SZ,7.95,6.51
20250403,000733.SZ,61.52,50.34
20250403,000735.SZ,6.7,5.48
20250403,000736.SZ,5.78,4.73
20250403,000737.SZ,11.37,9.31
20250403,000738.SZ,20.41,16.7
20250403,000739.SZ,16.82,13.76
20250403,000750.SZ,4.43,3.63
20250403,000751.SZ,3.22,2.64
20250403,000752.SZ,8.36,7.56
20250403,000753.SZ,6.07,4.97
20250403,000755.SZ,5.36,4.38
20250403,000756.SZ,16.8,13.74
20250403,000757.SZ,4.26,3.48
20250403,000758.SZ,5.53,4.53
20250403,000759.SZ,8.12,6.64
20250403,000761.SZ,4.16,3.4
20250403,000762.SZ,22.61,18.5
20250403,000766.SZ,19.97,16.34
20250403,000767.SZ,2.95,2.41
20250403,000768.SZ,25.85,21.15
20250403,000776.SZ,17.74,14.52
20250403,000777.SZ,19.38,15.86
20250403,000778.SZ,3.83,3.13
20250403,000779.SZ,10.22,8.36
20250403,000782.SZ,5.59,4.57
20250403,000783.SZ,7.12,5.82
20250403,000785.SZ,4.63,3.79
20250403,000786.SZ,32.41,26.51
20250403,000788.SZ,6.63,5.43
20250403,000789.SZ,5.91,4.83
20250403,000790.SZ,4.24,3.47
20250403,000791.SZ,7.39,6.05
20250403,000792.SZ,18.25,14.93
20250403,000793.SZ,2.5,2.26
20250403,000795.SZ,11.92,9.76
20250403,000796.SZ,4.25,3.47
20250403,000797.SZ,3.16,2.58
20250403,000798.SZ,7.65,6.26
20250403,000799.SZ,51.15,41.85
20250403,000800.SZ,8.77,7.17
20250403,000801.SZ,17.41,14.25
20250403,000802.SZ,5.07,4.15
20250403,000803.SZ,6.05,4.95
20250403,000807.SZ,19.17,15.69
20250403,000809.SZ,3.43,3.11
20250403,000810.SZ,14.18,11.6
20250403,000811.SZ,13.65,11.17
20250403,000812.SZ,4.97,4.07
20250403,000813.SZ,3.7,3.02
20250403,000815.SZ,13.98,11.44
20250403,000816.SZ,3.56,2.92
20250403,000818.SZ,28.57,23.37
20250403,000819.SZ,17.38,14.22
20250403,000820.SZ,2.76,2.26
20250403,000821.SZ,13.68,11.2
20250403,000822.SZ,6.35,5.19
20250403,000823.SZ,11.77,9.63
20250403,000825.SZ,3.85,3.15
20250403,000826.SZ,2.0,1.64
20250403,000828.SZ,11.25,9.21
20250403,000829.SZ,11.95,9.77
20250403,000830.SZ,13.34,10.92
20250403,000831.SZ,35.62,29.14
20250403,000833.SZ,12.86,10.52
20250403,000837.SZ,15.95,13.05
20250403,000838.SZ,2.62,2.14
20250403,000839.SZ,3.06,2.5
20250403,000848.SZ,9.53,7.79
20250403,000850.SZ,4.72,3.86
20250403,000851.SZ,2.72,2.46
20250403,000852.SZ,7.61,6.23
20250403,000856.SZ,11.97,9.79
20250403,000858.SZ,144.27,118.04
20250403,000859.SZ,6.38,5.22
20250403,000860.SZ,18.65,15.26
20250403,000862.SZ,5.82,4.76
20250403,000863.SZ,3.95,3.23
20250403,000868.SZ,7.11,5.81
20250403,000869.SZ,24.26,19.85
20250403,000875.SZ,5.91,4.83
20250403,000876.SZ,10.25,8.39
20250403,000877.SZ,6.16,5.04
20250403,000878.SZ,14.25,11.66
20250403,000880.SZ,39.6,32.4
20250403,000881.SZ,7.73,6.33
20250403,000882.SZ,2.42,1.98
20250403,000883.SZ,5.34,4.37
20250403,000885.SZ,14.5,11.86
20250403,000886.SZ,6.72,5.5
20250403,000887.SZ,20.89,17.09
20250403,000888.SZ,15.83,12.95
20250403,000889.SZ,2.7,2.44
20250403,000890.SZ,3.6,2.94
